msme_id,company_name,average_monthly_balance,inflow_to_outflow_ratio,bounce_mandate_failure_rate,balance_depletion_speed_days,gstr1_vs_gstr3b_variance,late_gst_filing_frequency,b2b_vs_b2c_revenue_ratio,monthly_revenue_growth_rate,active_employee_count_trend,epfo_wage_consistency_score,upi_transaction_velocity_daily,night_transaction_ratio,is_defaulter,risk_band
MSME-2026-JDQJ53,Goyal and Sons,1211744.81,1.108,0.044,46.1,187996.89,0.82,0.33,-0.009,0.046,53.7,16.7,0.11,0,B
MSME-2026-GNND63,"Chandran, Parekh and Sankar",761738.78,1.077,0.14,27.8,111471.36,0.588,0.85,0.23,0.185,5.8,18.5,0.074,1,C
MSME-2026-NDDP88,"Salvi, Roy and Sant",933958.41,1.146,0.062,32.1,65467.12,0.834,0.89,-0.077,0.012,55.0,19.8,0.093,0,B
MSME-2026-GHHI29,Sen and Sons,2035677.06,1.155,0.018,71.3,51424.28,0.79,3.35,-0.031,0.355,62.8,18.7,0.1,0,B
MSME-2026-VICK71,Oak-Keer,866275.66,0.988,0.038,30.0,61794.20,0.609,13.29,0.022,-0.008,57.0,16.2,0.094,0,B
MSME-2026-POWC45,Gokhale-Swaminathan,406032.30,1.037,0.07,14.3,182335.84,0.317,9.00,0.103,0.144,69.4,18.3,0.124,0,B
MSME-2026-FSXK91,Gola LLC,766353.88,1.144,0.093,27.2,95323.37,0.878,1.08,-0.052,-0.104,0.0,20.3,0.101,1,C
MSME-2026-CRKK90,"Behl, Sibal and Chakraborty",665189.54,1.250,0.105,23.4,141556.31,0.394,5.67,0.138,-0.002,66.0,18.3,0.095,0,B
MSME-2026-VXVR39,Tara-Talwar,1920364.92,1.326,0.129,75.7,27848.58,0.885,0.59,-0.188,0.095,41.2,20.8,0.129,0,B
MSME-2026-SRJN84,Bawa-Setty,1007785.07,1.097,0.078,32.0,110618.49,0.912,0.27,-0.031,-0.136,52.0,19.0,0.105,0,B
MSME-2026-XWRZ44,"Sagar, Chawla and Murty",730357.42,1.115,0.06,24.1,75855.13,1.0,0.75,0.072,0.041,19.2,22.5,0.107,0,B
MSME-2026-BSLG95,"Seth, Rattan and Buch",1110437.22,1.428,0.136,49.5,67527.91,0.626,0.16,0.066,0.012,8.8,16.3,0.112,1,C
MSME-2026-ATNO63,"Venkatesh, Soman and Apte",812369.98,1.053,0.088,27.7,50975.07,0.286,0.33,-0.074,-0.013,2.5,16.7,0.094,1,C
MSME-2026-VXLL10,"Narayan, Sarkar and Edwin",942619.61,1.089,0.022,29.6,75553.34,0.853,5.67,-0.125,0.133,65.8,18.5,0.083,0,B
MSME-2026-UDME34,Kaur PLC,623557.31,0.991,0.004,19.1,35450.45,0.376,7.33,0.103,0.021,45.3,18.7,0.095,0,A
MSME-2026-METO53,Kapadia-Borde,1639513.44,1.139,0.076,56.9,109130.29,0.272,1.33,-0.073,-0.04,69.3,18.0,0.071,0,B
MSME-2026-NVNE21,Seth-Devan,1478389.26,1.062,0.037,50.5,77323.26,0.826,0.14,0.08,0.012,75.3,20.3,0.096,0,B
MSME-2026-AVGP25,Balasubramanian-Lanka,695585.07,1.053,0.068,25.7,233594.92,0.999,3.00,0.039,-0.029,74.9,17.8,0.092,0,B
MSME-2026-ILUE50,Basu-Master,1091276.22,1.260,0.07,39.1,143591.48,0.663,8.09,0.058,0.043,55.4,18.7,0.086,0,B
MSME-2026-GMVZ83,"Raj, Seshadri and Singh",873288.83,1.205,0.055,33.8,190383.07,0.893,2.85,-0.116,-0.053,31.5,18.2,0.104,0,B
MSME-2026-XQJW65,Dhaliwal-Rai,966633.30,0.966,0.059,31.3,19182.73,0.806,0.54,0.051,-0.054,40.1,17.5,0.111,0,B
